#-----Metadata-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_CI_Address/che:postBox/gco:CharacterString,1823,12.4,24
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,13570,92.1,69

che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,12905,87.6,65

#-----Identifier Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:MD_Identifier/gmd:code,13682,92.8,69
gmd:RS_Identifier/gmd:code,11482,77.9,62

#-----Multilingualism Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,9984,67.7,68

che:PT_FreeURL/che:URLGroup/che:LocalisedURL,11781,79.9,67
